age,income,account_balance,transactions_last_30d,is_premium,target
23,83504,342,18,0,0
44,69777,859,19,1,0
49,41080,9576,32,0,0
50,81398,10563,18,0,0
39,107477,2041,21,1,0
76,58583,14834,20,1,0
63,125834,4816,19,0,0
73,58552,2441,21,0,0
51,50914,7291,19,0,0
21,90692,6651,30,1,0
49,79576,6844,17,0,0
31,37288,10709,22,0,0
37,63512,9967,18,0,0
67,92716,6789,20,0,0
22,74645,17575,21,1,0
38,75326,12037,18,0,1
52,65061,4558,24,1,0
58,72202,0,20,1,0
40,63608,5482,17,1,0
56,105497,0,13,1,0
38,51124,9361,27,1,0
47,113067,2529,27,0,0
61,121630,2120,25,0,0
18,65887,0,22,1,0
55,15000,6458,24,0,1
39,61613,1082,23,0,0
30,31247,13839,27,1,0
22,43898,8758,34,0,0
45,91390,13383,14,0,0
78,125085,21557,18,0,0
42,78345,12671,19,0,1
50,57753,11728,18,1,0
42,76594,13569,18,1,0
62,89740,0,27,1,0
65,24509,8048,17,0,0
69,64448,1953,26,0,0
49,66399,15582,24,1,1
36,79404,19812,25,1,0
45,100482,5877,15,1,0
50,65549,6955,22,1,1
64,109023,0,23,0,0
74,84808,0,18,1,0
19,85417,9745,13,1,1
57,89516,894,21,0,0
24,69086,2339,12,1,0
65,101614,6285,23,1,1
24,118570,18211,16,0,0
29,63437,1991,18,1,0
23,83326,9528,20,1,0
21,74744,1506,25,1,0
40,57115,8394,12,1,0
70,48193,7496,20,0,0
31,86936,0,20,0,0
55,70242,0,18,0,0
31,53424,337,22,1,0
19,54368,1497,17,0,0
63,50985,21763,19,0,0
72,58898,11812,23,0,0
70,60355,9051,24,0,1
35,68825,1375,20,0,0
49,67576,3059,22,1,1
38,45122,2141,28,1,0
62,119606,0,18,0,0
47,134632,2118,28,1,0
71,66361,10624,16,0,0
61,49266,3968,22,0,0
35,70960,11351,12,0,0
47,101821,7475,21,0,0
24,57111,11574,12,0,0
41,83601,0,23,1,0
74,109158,0,20,1,0
53,64725,14322,13,0,0
24,98380,14604,28,1,0
19,98211,0,19,0,0
28,69024,2519,17,0,0
55,75700,7114,22,1,0
23,84866,12259,15,0,0
36,95709,0,26,0,0
76,49413,19058,21,1,0
68,66111,0,19,0,0
42,81261,11982,20,1,0
51,67835,0,16,1,0
23,103439,13328,14,0,0
39,86056,2263,27,0,0
38,52894,8300,18,0,0
46,39745,8717,24,1,0
49,103310,13864,20,1,0
41,51106,12558,14,1,0
72,50332,0,27,0,0
38,51302,11666,23,1,1
32,67034,15137,23,0,0
43,20118,0,15,1,0
65,61900,6827,23,0,0
25,76994,4318,25,0,0
31,40878,15187,19,1,0
67,81282,14990,12,1,0
49,109743,7719,24,1,0
66,26726,5008,19,1,0
72,74509,3293,19,0,0
76,50551,1684,19,0,0
54,91154,23281,17,0,0
72,125369,5387,24,0,1
20,91113,2963,19,0,0
48,76350,1483,15,0,0
55,60448,12702,26,0,0
65,36787,3892,27,1,0
60,48023,8981,19,0,0
31,61364,8915,19,0,0
58,100575,0,20,0,0
18,60176,3177,21,0,0
25,91474,0,21,1,0
21,60578,18769,21,0,0
27,79759,11711,18,0,1
34,88415,10431,16,1,0
18,31817,2569,26,1,0
29,101099,11028,20,0,0
46,89152,0,15,1,0
39,46299,0,19,1,0
59,80305,12333,19,1,1
51,40390,12207,14,0,0
51,77728,0,16,1,0
67,58591,11627,21,0,0
20,61140,7047,16,1,0
24,59654,12467,26,0,0
37,59684,299,28,0,0
73,43352,3771,17,0,0
39,65808,9859,17,0,0
24,76587,9770,21,1,0
64,110974,5624,18,0,0
74,128023,7251,16,0,0
35,87887,11557,15,0,0
66,56687,8326,21,0,0
48,75137,0,16,0,0
64,61912,6074,18,0,0
31,63788,3089,23,0,0
25,32942,6126,18,0,0
52,35025,13116,19,0,0
45,116275,5642,21,0,0
73,132261,7757,22,0,0
32,86055,7913,18,0,1
29,69251,6558,22,0,0
36,61404,22310,24,0,0
21,79159,4174,20,0,1
69,96564,17677,15,1,0
73,84021,12200,22,0,0
43,70228,5149,33,0,0
58,73163,9257,20,1,0
69,44599,5742,28,1,0
58,94302,8931,18,1,0
42,59192,6360,24,1,0
33,87232,2123,18,0,0
53,35621,3645,24,0,0
40,98979,18064,20,0,0
58,54408,7536,13,1,0
20,61906,7155,19,1,0
25,47152,3529,12,1,0
21,54797,12717,19,0,0
39,56129,0,24,1,0
36,118914,21853,25,1,0
77,98630,5389,14,0,0
42,76976,4911,17,0,1
59,53565,8650,15,0,0
77,54424,9687,25,0,0
33,62030,9688,27,0,0
59,24298,16473,20,1,1
40,89034,14508,22,0,0
62,109703,0,25,1,0
56,38695,0,25,0,0
69,122759,1159,18,0,0
47,81063,2702,19,0,0
66,34765,6512,23,0,1
27,100083,3898,25,0,0
